Title,Handle,Price,Original_Price,Category,Image_URL
7 Piece White Floral Dessert Serving Set (Round)|Blue Pottery,7-piece-white-floral-dessert-serving-set-round-blue-pottery,44.68,,Home & Garden > Kitchen & Dining > Tableware > Dinnerware > Dinnerware Sets,https://cdn.shopify.com/s/files/1/0864/7006/6210/files/Photoroom-20240610-065818-removebg-preview.pn...
Ceramic Lamp,ceramic-lamp,50.00,,Home & Garden > Lighting > Lamps,https://cdn.shopify.com/s/files/1/0864/7006/6210/files/14t.png?v=1771904350
Quarter Plate,quarter-plate,30.00,,Home & Garden > Decor > Decorative Trays,https://cdn.shopify.com/s/files/1/0864/7006/6210/files/13r.png?v=1771904349
7 Piece White Floral Dessert Serving Set|Blue Pottery,7-piece-white-floral-dessert-serving-set-blue-pottery,40.21,,Home & Garden > Kitchen & Dining > Tableware > Dinnerware > Dinnerware Sets,https://cdn.shopify.com/s/files/1/0864/7006/6210/files/Photoroom-20240610-065127-removebg-preview.pn...
Ayat Plate,ayat-plate,30.00,,Home & Garden > Decor > Decorative Plates,https://cdn.shopify.com/s/files/1/0864/7006/6210/files/11y.png?v=1771904347
Floral White Dinner Plate| 10 inches|Set of 6,floral-white-dinner-plate-10-inches-set-of-6,85.00,,Home & Garden > Kitchen & Dining > Tableware > Dinnerware > Plates,https://cdn.shopify.com/s/files/1/0864/7006/6210/files/rn-image_picker_lib_temp_6574f4ac-fb11-4380-9...
Water Set,water-set,75.00,,Home & Garden > Kitchen & Dining > Tableware > Coffee & Tea Sets,https://cdn.shopify.com/s/files/1/0864/7006/6210/files/9.png?v=1771904344
5 Piece Floral White BBQ Serving Set|Blue Pottery,5-piece-floral-white-bbq-serving-set-blue-pottery,67.02,,Home & Garden > Kitchen & Dining > Tableware > Dinnerware > Dinnerware Sets,https://cdn.shopify.com/s/files/1/0864/7006/6210/files/rn-image_picker_lib_temp_c796be56-4d86-4a0c-8...
Triangle Dish,triangle-dish,45.00,,Home & Garden > Decor > Decorative Bowls,https://cdn.shopify.com/s/files/1/0864/7006/6210/files/8-removebg-preview_d5b9abed-7189-4efa-b5a7-2b...
Chinese Jar,chinese-jar-2,48.00,,Home & Garden > Decor > Decorative Jars,https://cdn.shopify.com/s/files/1/0864/7006/6210/files/7-removebg-preview_1401ed44-ab50-425f-b937-64...
Cylinder Vase,cylinder-vase-1,18.85,,Home & Garden > Decor > Vases,https://cdn.shopify.com/s/files/1/0864/7006/6210/files/6-removebg-preview_ad734247-d283-4176-978e-b7...
Surahi Vase Medium,surahi-vase-medium,68.00,,Home & Garden > Decor > Vases,https://cdn.shopify.com/s/files/1/0864/7006/6210/files/5-removebg-preview_f39a7c4d-8090-49af-a761-5c...
Bottle Vase,bottle-vase-2,58.00,,Home & Garden > Decor > Vases,https://cdn.shopify.com/s/files/1/0864/7006/6210/files/4-removebg-preview_6b8f41ff-a075-46a3-be63-c3...
Surahi Vase,surahi-vase,68.00,,Home & Garden > Decor > Vases,https://cdn.shopify.com/s/files/1/0864/7006/6210/files/3-removebg-preview_84f663da-a653-4fee-8a2c-2f...
Large Vase,large-vase,65.00,,Home & Garden > Decor > Vases,https://cdn.shopify.com/s/files/1/0864/7006/6210/files/2-removebg-preview_d89d4ee0-fb39-4694-90fd-c4...
Medium Vase I,medium-vase-i-1,65.00,,Home & Garden > Decor > Vases,https://cdn.shopify.com/s/files/1/0864/7006/6210/files/1-removebg-preview_ac891d6e-e72c-4937-8d99-ec...
6 Piece Iconic Blue Serving Set|Blue pottery,6-piece-iconic-blue-serving-set-blue-pottery,100.53,,Home & Garden > Kitchen & Dining > Tableware > Dinnerware > Dinnerware Sets,https://cdn.shopify.com/s/files/1/0864/7006/6210/files/rn-image_picker_lib_temp_11dba796-8315-41ac-9...
Iconic Blue Handi/Traditional Pot|Blue Pottery,iconic-blue-handi-traditional-pot-blue-pottery,50.00,,Home & Garden > Kitchen & Dining > Cookware & Bakeware > Cookware > Tagines & Clay Cooking Pots > Clay Cooking Pots,https://cdn.shopify.com/s/files/1/0864/7006/6210/files/rn-image_picker_lib_temp_bd16bc53-29c6-4e0e-a...
Iconic Blue Medium Round Serving dish|Blue pottery,iconic-blue-medium-round-serving-dish-blue-pottery,21.22,,Home & Garden > Kitchen & Dining > Tableware > Serveware,https://cdn.shopify.com/s/files/1/0864/7006/6210/files/rn-image_picker_lib_temp_084e0083-4d1a-4425-9...
Iconic Blue Medium Square Serving dish|Blue pottery,iconic-blue-medium-square-serving-dish-blue-pottery,40.00,,Home & Garden > Kitchen & Dining > Tableware > Serveware,https://cdn.shopify.com/s/files/1/0864/7006/6210/files/Photoroom-20240604-111932-removebg-preview.pn...
Set of Two Iconic Blue Round Serving dish|Blue pottery,set-of-two-iconic-blue-round-serving-dish-blue-pottery,48.00,,Home & Garden > Kitchen & Dining > Tableware > Serveware,https://cdn.shopify.com/s/files/1/0864/7006/6210/files/rn-image_picker_lib_temp_72b02469-06ee-41e6-a...
Set of two Iconic Blue Square Serving dish|Blue pottery,set-of-two-iconic-blue-square-serving-dish-blue-pottery,44.68,,Home & Garden > Kitchen & Dining > Tableware > Serveware > Serving Platters,https://cdn.shopify.com/s/files/1/0864/7006/6210/files/rn-image_picker_lib_temp_a62a01ef-e33f-4075-b...
Iconic Blue Medium Round Platter/ Pizza Plate|Blue pottery,iconic-blue-medium-round-platter-pizza-plate-blue-pottery,50.00,,Home & Garden > Kitchen & Dining > Tableware > Serveware > Serving Platters,https://cdn.shopify.com/s/files/1/0864/7006/6210/files/IMG-2024_06_25_210243-removebg-preview.png?v=...
Set of two Iconic Blue Handis/Traditional Pots |Blue Pottery,set-of-two-iconic-blue-handis-traditional-pots-blue-pottery-1,68.00,,Home & Garden > Kitchen & Dining > Cookware & Bakeware > Cookware,https://cdn.shopify.com/s/files/1/0864/7006/6210/files/Photoroom-20240726-180721-removebg-preview.pn...
